neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
Mid-City,Private room,,3,1,Single-listing Host
Lower Garden District,Entire home/apt,44.0,58,5,Multi-listing Host
St. Claude,Entire home/apt,97.0,560,1,Single-listing Host
Bayou St. John,Entire home/apt,176.0,62,1,Single-listing Host
Central City,Entire home/apt,208.0,14,2,Multi-listing Host
Treme - Lafitte,Entire home/apt,140.0,155,25,Multi-listing Host
Bywater,Entire home/apt,197.0,294,1,Single-listing Host
Algiers Point,Private room,99.0,487,2,Multi-listing Host
Bayou St. John,Entire home/apt,,195,2,Multi-listing Host
Central City,Entire home/apt,350.0,78,1,Single-listing Host
Holy Cross,Entire home/apt,,233,1,Single-listing Host
Uptown,Private room,100.0,86,1,Single-listing Host
East Riverside,Entire home/apt,,19,1,Single-listing Host
Garden District,Entire home/apt,83.0,69,1,Single-listing Host
Central City,Private room,100.0,8,4,Multi-listing Host
City Park,Private room,135.0,36,1,Single-listing Host
Gentilly Terrace,Entire home/apt,,0,1,Single-listing Host
St. Claude,Entire home/apt,165.0,244,1,Single-listing Host
Holy Cross,Private room,59.0,174,5,Multi-listing Host
St. Thomas Dev,Entire home/apt,292.0,93,3,Multi-listing Host
Marigny,Private room,95.0,522,1,Single-listing Host
St. Thomas Dev,Entire home/apt,190.0,23,3,Multi-listing Host
Mid-City,Entire home/apt,170.0,116,2,Multi-listing Host
Uptown,Entire home/apt,399.0,185,2,Multi-listing Host
Garden District,Entire home/apt,122.0,9,1,Single-listing Host
Treme - Lafitte,Entire home/apt,237.0,269,1,Single-listing Host
Bayou St. John,Entire home/apt,85.0,48,1,Single-listing Host
Marigny,Private room,84.0,26,13,Multi-listing Host
Bywater,Entire home/apt,311.0,94,1,Single-listing Host
Bywater,Entire home/apt,,441,1,Single-listing Host
Marigny,Private room,100.0,81,13,Multi-listing Host
Algiers Point,Entire home/apt,89.0,232,1,Single-listing Host
Bywater,Entire home/apt,48.0,56,5,Multi-listing Host
Lower Garden District,Entire home/apt,68.0,123,1,Single-listing Host
Treme - Lafitte,Entire home/apt,121.0,275,5,Multi-listing Host
St. Claude,Entire home/apt,1506.0,135,1,Single-listing Host
Marigny,Private room,82.0,66,13,Multi-listing Host
Marigny,Private room,80.0,101,13,Multi-listing Host
Marigny,Private room,80.0,20,13,Multi-listing Host
Marigny,Private room,101.0,40,13,Multi-listing Host
Seventh Ward,Entire home/apt,77.0,608,2,Multi-listing Host
Marigny,Private room,400.0,69,2,Multi-listing Host
East Riverside,Entire home/apt,85.0,42,2,Multi-listing Host
East Riverside,Entire home/apt,119.0,52,2,Multi-listing Host
Holy Cross,Private room,52.0,141,5,Multi-listing Host
Treme - Lafitte,Entire home/apt,90.0,132,5,Multi-listing Host
Treme - Lafitte,Entire home/apt,85.0,68,5,Multi-listing Host
Bayou St. John,Entire home/apt,111.0,10,2,Multi-listing Host
Tulane - Gravier,Entire home/apt,180.0,218,10,Multi-listing Host
Marlyville - Fontainbleau,Entire home/apt,135.0,102,1,Single-listing Host
Tulane - Gravier,Entire home/apt,193.0,236,10,Multi-listing Host
Treme - Lafitte,Entire home/apt,150.0,209,2,Multi-listing Host
St. Claude,Entire home/apt,260.0,253,1,Single-listing Host
Marigny,Entire home/apt,2500.0,271,1,Single-listing Host
Audubon,Entire home/apt,77.0,696,1,Single-listing Host
Broadmoor,Entire home/apt,219.0,249,1,Single-listing Host
Central City,Entire home/apt,145.0,5,1,Single-listing Host
Lower Garden District,Entire home/apt,,29,2,Multi-listing Host
Black Pearl,Entire home/apt,120.0,174,1,Single-listing Host
St. Thomas Dev,Entire home/apt,493.0,17,1,Single-listing Host
Treme - Lafitte,Entire home/apt,132.0,67,5,Multi-listing Host
St. Roch,Private room,,100,1,Single-listing Host
Bywater,Entire home/apt,100.0,188,1,Single-listing Host
East Riverside,Entire home/apt,121.0,140,1,Single-listing Host
Mid-City,Private room,,31,1,Single-listing Host
Seventh Ward,Entire home/apt,178.0,389,5,Multi-listing Host
Seventh Ward,Entire home/apt,407.0,41,4,Multi-listing Host
Marigny,Entire home/apt,,361,1,Single-listing Host
Marigny,Entire home/apt,166.0,407,7,Multi-listing Host
Bayou St. John,Entire home/apt,,3,2,Multi-listing Host
Fairgrounds,Entire home/apt,,320,1,Single-listing Host
French Quarter,Entire home/apt,179.0,169,1,Single-listing Host
Mid-City,Entire home/apt,577.0,151,2,Multi-listing Host
Seventh Ward,Entire home/apt,,195,1,Single-listing Host
Marigny,Entire home/apt,170.0,483,1,Single-listing Host
Bayou St. John,Entire home/apt,100.0,250,1,Single-listing Host
Lower Garden District,Entire home/apt,,2,2,Multi-listing Host
Lower Garden District,Private room,,96,1,Single-listing Host
Marigny,Entire home/apt,143.0,469,2,Multi-listing Host
Mid-City,Private room,,138,18,Multi-listing Host
Mid-City,Entire home/apt,394.0,168,18,Multi-listing Host
Audubon,Entire home/apt,1450.0,2,2,Multi-listing Host
Bywater,Entire home/apt,150.0,222,1,Single-listing Host
Marigny,Private room,93.0,496,1,Single-listing Host
Lower Garden District,Entire home/apt,,1,2,Multi-listing Host
Marigny,Entire home/apt,146.0,204,1,Single-listing Host
Algiers Point,Entire home/apt,135.0,55,2,Multi-listing Host
Fairgrounds,Entire home/apt,107.0,134,3,Multi-listing Host
Bywater,Entire home/apt,291.0,178,4,Multi-listing Host
Lakeview,Private room,,113,1,Single-listing Host
Central City,Entire home/apt,95.0,95,1,Single-listing Host
Marigny,Entire home/apt,,41,1,Single-listing Host
Uptown,Entire home/apt,,27,2,Multi-listing Host
Bywater,Entire home/apt,70.0,607,1,Single-listing Host
Marigny,Private room,,0,1,Single-listing Host
Audubon,Entire home/apt,900.0,0,1,Single-listing Host
Bywater,Entire home/apt,181.0,528,2,Multi-listing Host
West Riverside,Entire home/apt,525.0,30,3,Multi-listing Host
Audubon,Entire home/apt,,174,3,Multi-listing Host
Marigny,Entire home/apt,116.0,163,1,Single-listing Host
Central Business District,Entire home/apt,1424.0,14,1,Single-listing Host
Central City,Entire home/apt,209.0,51,2,Multi-listing Host
Treme - Lafitte,Entire home/apt,91.0,620,2,Multi-listing Host
Central City,Entire home/apt,206.0,15,2,Multi-listing Host
Central City,Entire home/apt,89.0,282,1,Single-listing Host
Marigny,Entire home/apt,,38,1,Single-listing Host
Irish Channel,Entire home/apt,217.0,450,2,Multi-listing Host
Seventh Ward,Entire home/apt,163.0,406,5,Multi-listing Host
Central Business District,Entire home/apt,189.0,0,1,Single-listing Host
Lower Garden District,Entire home/apt,,299,2,Multi-listing Host
East Riverside,Entire home/apt,198.0,248,1,Single-listing Host
Leonidas,Entire home/apt,517.0,27,1,Single-listing Host
Mid-City,Private room,,119,18,Multi-listing Host
Audubon,Entire home/apt,130.0,41,1,Single-listing Host
Central City,Private room,95.0,153,2,Multi-listing Host
Audubon,Entire home/apt,143.0,17,1,Single-listing Host
Fairgrounds,Entire home/apt,250.0,70,1,Single-listing Host
Irish Channel,Entire home/apt,79.0,455,1,Single-listing Host
Central City,Private room,,2,8,Multi-listing Host
Marigny,Entire home/apt,244.0,140,11,Multi-listing Host
Marigny,Entire home/apt,123.0,202,2,Multi-listing Host
East Carrollton,Entire home/apt,,18,1,Single-listing Host
Lower Garden District,Entire home/apt,,79,2,Multi-listing Host
Leonidas,Entire home/apt,83.0,61,1,Single-listing Host
Gentilly Terrace,Entire home/apt,99.0,162,1,Single-listing Host
St. Roch,Entire home/apt,233.0,162,2,Multi-listing Host
Uptown,Entire home/apt,59.0,44,2,Multi-listing Host
Fairgrounds,Entire home/apt,132.0,82,1,Single-listing Host
Hollygrove,Entire home/apt,217.0,106,3,Multi-listing Host
East Riverside,Entire home/apt,65.0,139,1,Single-listing Host
Central City,Entire home/apt,90.0,353,1,Single-listing Host
Milan,Entire home/apt,164.0,385,1,Single-listing Host
City Park,Entire home/apt,,112,1,Single-listing Host
Bywater,Entire home/apt,498.0,52,2,Multi-listing Host
East Riverside,Entire home/apt,275.0,34,1,Single-listing Host
Bayou St. John,Entire home/apt,364.0,131,1,Single-listing Host
Bywater,Entire home/apt,196.0,335,2,Multi-listing Host
Central City,Private room,,1,8,Multi-listing Host
Central City,Private room,,1,8,Multi-listing Host
East Riverside,Entire home/apt,97.0,30,1,Single-listing Host
Treme - Lafitte,Entire home/apt,150.0,177,2,Multi-listing Host
Central City,Entire home/apt,86.0,437,5,Multi-listing Host
Irish Channel,Entire home/apt,680.0,142,2,Multi-listing Host
Central Business District,Entire home/apt,244.0,142,1,Single-listing Host
St. Claude,Entire home/apt,,169,1,Single-listing Host
Seventh Ward,Entire home/apt,,196,1,Single-listing Host
Central City,Private room,,1,8,Multi-listing Host
Uptown,Entire home/apt,216.0,172,1,Single-listing Host
West Riverside,Private room,65.0,251,1,Single-listing Host
Irish Channel,Entire home/apt,163.0,348,1,Single-listing Host
Uptown,Entire home/apt,1000.0,154,1,Single-listing Host
Black Pearl,Entire home/apt,110.0,126,1,Single-listing Host
Treme - Lafitte,Entire home/apt,1429.0,22,4,Multi-listing Host
Marlyville - Fontainbleau,Private room,90.0,12,1,Single-listing Host
Marigny,Private room,67.0,209,7,Multi-listing Host
Leonidas,Entire home/apt,146.0,11,1,Single-listing Host
Uptown,Entire home/apt,117.0,377,1,Single-listing Host
Treme - Lafitte,Entire home/apt,556.0,156,3,Multi-listing Host
Marigny,Entire home/apt,357.0,227,2,Multi-listing Host
Lower Garden District,Private room,,1,8,Multi-listing Host
Uptown,Entire home/apt,175.0,207,1,Single-listing Host
Treme - Lafitte,Private room,,55,2,Multi-listing Host
Mid-City,Entire home/apt,125.0,43,1,Single-listing Host
Treme - Lafitte,Entire home/apt,211.0,230,2,Multi-listing Host
St. Roch,Entire home/apt,50.0,240,1,Single-listing Host
Marigny,Entire home/apt,206.0,178,13,Multi-listing Host
Mid-City,Entire home/apt,175.0,204,1,Single-listing Host
Broadmoor,Entire home/apt,150.0,81,1,Single-listing Host
Treme - Lafitte,Private room,84.0,35,2,Multi-listing Host
Touro,Entire home/apt,125.0,128,1,Single-listing Host
Mid-City,Entire home/apt,219.0,381,4,Multi-listing Host
St. Roch,Entire home/apt,390.0,186,2,Multi-listing Host
Marigny,Entire home/apt,174.0,456,1,Single-listing Host
Bywater,Entire home/apt,650.0,50,1,Single-listing Host
Central City,Private room,,0,8,Multi-listing Host
Lower Garden District,Private room,,1,8,Multi-listing Host
Mid-City,Entire home/apt,95.0,89,7,Multi-listing Host
