neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
Marigny,Entire home/apt,124.0,138,1,Single-listing Host
Seventh Ward,Entire home/apt,196.0,96,25,Multi-listing Host
Lower Ninth Ward,Private room,105.0,1,2,Multi-listing Host
Central Business District,Entire home/apt,,1,9,Multi-listing Host
Central Business District,Entire home/apt,,20,9,Multi-listing Host
Marigny,Entire home/apt,407.0,28,9,Multi-listing Host
French Quarter,Entire home/apt,840.0,12,9,Multi-listing Host
French Quarter,Entire home/apt,446.0,14,9,Multi-listing Host
St. Claude,Entire home/apt,156.0,45,5,Multi-listing Host
Lower Garden District,Entire home/apt,610.0,117,2,Multi-listing Host
Mid-City,Entire home/apt,211.0,198,32,Multi-listing Host
Touro,Entire home/apt,238.0,86,1,Single-listing Host
Freret,Entire home/apt,99.0,127,1,Single-listing Host
Central City,Entire home/apt,468.0,119,2,Multi-listing Host
Audubon,Entire home/apt,226.0,63,1,Single-listing Host
French Quarter,Entire home/apt,329.0,133,13,Multi-listing Host
French Quarter,Entire home/apt,328.0,150,13,Multi-listing Host
Central Business District,Entire home/apt,335.0,118,13,Multi-listing Host
Central Business District,Entire home/apt,328.0,133,13,Multi-listing Host
Treme - Lafitte,Entire home/apt,320.0,8,4,Multi-listing Host
Mid-City,Entire home/apt,106.0,95,26,Multi-listing Host
Lower Ninth Ward,Entire home/apt,91.0,7,2,Multi-listing Host
Mid-City,Private room,,1,1,Single-listing Host
Audubon,Entire home/apt,375.0,23,1,Single-listing Host
City Park,Entire home/apt,,7,1,Single-listing Host
Tulane - Gravier,Entire home/apt,99.0,119,3,Multi-listing Host
Seventh Ward,Entire home/apt,164.0,91,1,Single-listing Host
Central City,Entire home/apt,,5,4,Multi-listing Host
Broadmoor,Entire home/apt,143.0,32,4,Multi-listing Host
Gentilly Terrace,Entire home/apt,,19,1,Single-listing Host
Bywater,Entire home/apt,180.0,0,1,Single-listing Host
Treme - Lafitte,Private room,200.0,0,4,Multi-listing Host
Treme - Lafitte,Private room,200.0,0,4,Multi-listing Host
Seventh Ward,Private room,200.0,0,4,Multi-listing Host
West Riverside,Entire home/apt,99.0,134,57,Multi-listing Host
West Riverside,Entire home/apt,104.0,138,57,Multi-listing Host
Seventh Ward,Private room,200.0,0,4,Multi-listing Host
East Riverside,Entire home/apt,139.0,10,2,Multi-listing Host
Algiers Point,Entire home/apt,118.0,46,1,Single-listing Host
Dillard,Private room,99.0,56,2,Multi-listing Host
Dillard,Entire home/apt,122.0,36,3,Multi-listing Host
Dillard,Entire home/apt,132.0,55,3,Multi-listing Host
Lower Garden District,Entire home/apt,95.0,83,1,Single-listing Host
Central City,Entire home/apt,,0,1,Single-listing Host
Algiers Point,Entire home/apt,214.0,0,2,Multi-listing Host
West Riverside,Entire home/apt,224.0,145,59,Multi-listing Host
Uptown,Entire home/apt,217.0,130,59,Multi-listing Host
Treme - Lafitte,Entire home/apt,188.0,166,26,Multi-listing Host
Treme - Lafitte,Entire home/apt,194.0,158,26,Multi-listing Host
Mid-City,Entire home/apt,106.0,157,26,Multi-listing Host
Central City,Entire home/apt,,0,1,Single-listing Host
Gert Town,Entire home/apt,129.0,29,1,Single-listing Host
Leonidas,Private room,53.0,59,3,Multi-listing Host
Lower Garden District,Entire home/apt,193.0,127,10,Multi-listing Host
Irish Channel,Entire home/apt,,0,1,Single-listing Host
Central City,Entire home/apt,,5,4,Multi-listing Host
West Riverside,Entire home/apt,150.0,2,1,Single-listing Host
Black Pearl,Entire home/apt,55.0,18,1,Single-listing Host
Treme - Lafitte,Entire home/apt,260.0,4,4,Multi-listing Host
Central City,Private room,95.0,38,2,Multi-listing Host
West Riverside,Entire home/apt,100.0,82,1,Single-listing Host
East Riverside,Entire home/apt,57.0,0,1,Single-listing Host
Lower Garden District,Entire home/apt,175.0,314,16,Multi-listing Host
Marigny,Entire home/apt,314.0,152,1,Single-listing Host
Seventh Ward,Entire home/apt,241.0,31,1,Single-listing Host
Tulane - Gravier,Entire home/apt,101.0,192,1,Single-listing Host
Gentilly Terrace,Entire home/apt,146.0,5,1,Single-listing Host
Uptown,Entire home/apt,315.0,96,8,Multi-listing Host
Treme - Lafitte,Entire home/apt,300.0,56,1,Single-listing Host
Marigny,Entire home/apt,304.0,103,8,Multi-listing Host
Lower Ninth Ward,Entire home/apt,,22,1,Single-listing Host
Treme - Lafitte,Entire home/apt,208.0,115,1,Single-listing Host
Marigny,Entire home/apt,169.0,82,1,Single-listing Host
Black Pearl,Entire home/apt,121.0,4,14,Multi-listing Host
Seventh Ward,Entire home/apt,136.0,111,1,Single-listing Host
Seventh Ward,Private room,700.0,1,5,Multi-listing Host
Lower Garden District,Entire home/apt,95.0,205,1,Single-listing Host
Treme - Lafitte,Entire home/apt,,36,1,Single-listing Host
Seventh Ward,Entire home/apt,99.0,96,1,Single-listing Host
Leonidas,Entire home/apt,100.0,0,1,Single-listing Host
Central City,Entire home/apt,125.0,0,2,Multi-listing Host
Fairgrounds,Entire home/apt,127.0,231,1,Single-listing Host
Fairgrounds,Entire home/apt,90.0,69,1,Single-listing Host
Audubon,Entire home/apt,559.0,1,1,Single-listing Host
Irish Channel,Entire home/apt,295.0,122,4,Multi-listing Host
Central Business District,Entire home/apt,359.0,116,3,Multi-listing Host
Mid-City,Entire home/apt,170.0,81,1,Single-listing Host
Central Business District,Entire home/apt,439.0,188,3,Multi-listing Host
Algiers Point,Entire home/apt,182.0,92,1,Single-listing Host
East Carrollton,Entire home/apt,160.0,0,14,Multi-listing Host
Gentilly Terrace,Entire home/apt,200.0,12,1,Single-listing Host
Uptown,Entire home/apt,590.0,120,8,Multi-listing Host
Algiers Point,Entire home/apt,279.0,139,2,Multi-listing Host
Seventh Ward,Entire home/apt,254.0,13,1,Single-listing Host
Lower Garden District,Entire home/apt,817.0,10,1,Single-listing Host
Uptown,Entire home/apt,,4,1,Single-listing Host
Uptown,Entire home/apt,160.0,94,8,Multi-listing Host
East Riverside,Entire home/apt,195.0,48,1,Single-listing Host
Algiers Point,Entire home/apt,103.0,154,1,Single-listing Host
St. Claude,Entire home/apt,,4,1,Single-listing Host
Marigny,Entire home/apt,291.0,55,1,Single-listing Host
Freret,Entire home/apt,123.0,85,2,Multi-listing Host
East Carrollton,Entire home/apt,111.0,73,1,Single-listing Host
Uptown,Entire home/apt,124.0,107,1,Single-listing Host
Uptown,Entire home/apt,119.0,56,7,Multi-listing Host
Marigny,Entire home/apt,249.0,68,1,Single-listing Host
Milan,Entire home/apt,119.0,27,2,Multi-listing Host
Bayou St. John,Entire home/apt,77.0,162,1,Single-listing Host
St.  Anthony,Private room,88.0,54,3,Multi-listing Host
Mid-City,Entire home/apt,158.0,148,26,Multi-listing Host
St. Roch,Entire home/apt,176.0,75,11,Multi-listing Host
Leonidas,Entire home/apt,190.0,8,1,Single-listing Host
Leonidas,Private room,53.0,35,3,Multi-listing Host
West Riverside,Entire home/apt,204.0,21,1,Single-listing Host
Black Pearl,Private room,,2,1,Single-listing Host
Marigny,Entire home/apt,187.0,74,3,Multi-listing Host
Lower Garden District,Entire home/apt,356.0,113,1,Single-listing Host
Mid-City,Entire home/apt,,2,2,Multi-listing Host
Bywater,Entire home/apt,99.0,96,1,Single-listing Host
Marigny,Entire home/apt,199.0,90,3,Multi-listing Host
Marigny,Entire home/apt,195.0,95,3,Multi-listing Host
St. Claude,Entire home/apt,146.0,78,1,Single-listing Host
St. Roch,Entire home/apt,,38,1,Single-listing Host
Milan,Entire home/apt,69.0,214,1,Single-listing Host
Central Business District,Entire home/apt,116.0,120,44,Multi-listing Host
St. Roch,Entire home/apt,216.0,70,1,Single-listing Host
Audubon,Entire home/apt,,6,1,Single-listing Host
East Carrollton,Entire home/apt,120.0,40,1,Single-listing Host
Tulane - Gravier,Entire home/apt,,0,1,Single-listing Host
Central Business District,Entire home/apt,196.0,33,41,Multi-listing Host
Mid-City,Private room,,0,2,Multi-listing Host
Treme - Lafitte,Private room,265.0,106,1,Single-listing Host
Mid-City,Entire home/apt,70.0,119,3,Multi-listing Host
Leonidas,Entire home/apt,,14,4,Multi-listing Host
Tulane - Gravier,Entire home/apt,199.0,41,3,Multi-listing Host
Mid-City,Entire home/apt,45.0,86,3,Multi-listing Host
French Quarter,Entire home/apt,131.0,228,26,Multi-listing Host
Mid-City,Entire home/apt,267.0,73,2,Multi-listing Host
Treme - Lafitte,Entire home/apt,142.0,206,2,Multi-listing Host
Mid-City,Entire home/apt,118.0,124,1,Single-listing Host
Seventh Ward,Entire home/apt,150.0,51,4,Multi-listing Host
Seventh Ward,Private room,130.0,67,4,Multi-listing Host
Seventh Ward,Entire home/apt,75.0,210,1,Single-listing Host
Uptown,Entire home/apt,76.0,208,4,Multi-listing Host
French Quarter,Entire home/apt,110.0,102,44,Multi-listing Host
Central Business District,Entire home/apt,123.0,151,44,Multi-listing Host
Tulane - Gravier,Entire home/apt,,6,3,Multi-listing Host
Little Woods,Entire home/apt,104.0,245,6,Multi-listing Host
French Quarter,Entire home/apt,134.0,142,44,Multi-listing Host
Bayou St. John,Entire home/apt,176.0,14,1,Single-listing Host
Central Business District,Entire home/apt,,0,24,Multi-listing Host
Central Business District,Entire home/apt,,3,24,Multi-listing Host
St.  Anthony,Private room,88.0,95,3,Multi-listing Host
St. Roch,Entire home/apt,124.0,107,1,Single-listing Host
St.  Anthony,Private room,88.0,65,3,Multi-listing Host
Mid-City,Entire home/apt,428.0,25,1,Single-listing Host
St. Thomas Dev,Entire home/apt,124.0,0,1,Single-listing Host
St. Claude,Entire home/apt,85.0,146,1,Single-listing Host
Gert Town,Entire home/apt,,11,2,Multi-listing Host
French Quarter,Entire home/apt,550.0,0,1,Single-listing Host
Leonidas,Private room,,10,1,Single-listing Host
Uptown,Private room,,0,1,Single-listing Host
Dillard,Private room,99.0,29,2,Multi-listing Host
Broadmoor,Entire home/apt,131.0,7,1,Single-listing Host
Old Aurora,Entire home/apt,,37,1,Single-listing Host
Pines Village,Entire home/apt,,17,1,Single-listing Host
Treme - Lafitte,Entire home/apt,,0,1,Single-listing Host
Central Business District,Entire home/apt,208.0,27,41,Multi-listing Host
Little Woods,Entire home/apt,,0,1,Single-listing Host
Seventh Ward,Private room,183.0,9,5,Multi-listing Host
Treme - Lafitte,Entire home/apt,250.0,165,1,Single-listing Host
Lower Garden District,Entire home/apt,149.0,56,1,Single-listing Host
Broadmoor,Entire home/apt,103.0,177,3,Multi-listing Host
Bywater,Entire home/apt,175.0,187,5,Multi-listing Host
Central City,Shared room,,40,4,Multi-listing Host
Central Business District,Entire home/apt,213.0,32,41,Multi-listing Host
Central Business District,Entire home/apt,213.0,27,41,Multi-listing Host
Lower Garden District,Entire home/apt,164.0,107,2,Multi-listing Host
Seventh Ward,Entire home/apt,179.0,80,1,Single-listing Host
Tulane - Gravier,Entire home/apt,104.0,157,26,Multi-listing Host
Central Business District,Entire home/apt,94.0,140,5,Multi-listing Host
Lower Garden District,Entire home/apt,85.0,3,1,Single-listing Host
French Quarter,Entire home/apt,119.0,237,8,Multi-listing Host
West Lake Forest,Private room,,0,1,Single-listing Host
Village De Lest,Entire home/apt,,0,1,Single-listing Host
Central Business District,Entire home/apt,94.0,140,5,Multi-listing Host
Dillard,Entire home/apt,,0,3,Multi-listing Host
Lower Garden District,Entire home/apt,270.0,53,19,Multi-listing Host
Seventh Ward,Private room,,25,5,Multi-listing Host
Seventh Ward,Private room,172.0,39,5,Multi-listing Host
Treme - Lafitte,Private room,,15,5,Multi-listing Host
Treme - Lafitte,Private room,179.0,4,5,Multi-listing Host
Broadmoor,Entire home/apt,,5,1,Single-listing Host
Marigny,Entire home/apt,163.0,19,6,Multi-listing Host
Marigny,Entire home/apt,163.0,17,6,Multi-listing Host
Central City,Entire home/apt,190.0,48,78,Multi-listing Host
Seventh Ward,Entire home/apt,105.0,46,1,Single-listing Host
Lower Garden District,Entire home/apt,427.0,155,2,Multi-listing Host
Central City,Entire home/apt,81.0,3,1,Single-listing Host
Marigny,Entire home/apt,129.0,83,2,Multi-listing Host
Milan,Entire home/apt,,1,4,Multi-listing Host
Central City,Entire home/apt,,1,4,Multi-listing Host
Central City,Entire home/apt,288.0,151,1,Single-listing Host
Milan,Entire home/apt,89.0,86,81,Multi-listing Host
Mid-City,Entire home/apt,305.0,115,2,Multi-listing Host
East Riverside,Entire home/apt,145.0,177,1,Single-listing Host
Tulane - Gravier,Entire home/apt,209.0,182,7,Multi-listing Host
Central Business District,Entire home/apt,75.0,13,7,Multi-listing Host
Central Business District,Entire home/apt,75.0,10,7,Multi-listing Host
Mid-City,Entire home/apt,,17,2,Multi-listing Host
Pines Village,Private room,89.0,67,1,Single-listing Host
Central Business District,Entire home/apt,75.0,9,7,Multi-listing Host
Central Business District,Entire home/apt,75.0,2,7,Multi-listing Host
Treme - Lafitte,Entire home/apt,80.0,55,1,Single-listing Host
St. Thomas Dev,Entire home/apt,580.0,54,2,Multi-listing Host
Central Business District,Entire home/apt,75.0,8,7,Multi-listing Host
Uptown,Entire home/apt,245.0,96,12,Multi-listing Host
Mid-City,Entire home/apt,170.0,132,2,Multi-listing Host
Central Business District,Entire home/apt,75.0,1,7,Multi-listing Host
Mid-City,Entire home/apt,69.0,169,2,Multi-listing Host
Irish Channel,Entire home/apt,,118,2,Multi-listing Host
Tulane - Gravier,Entire home/apt,200.0,33,2,Multi-listing Host
Treme - Lafitte,Entire home/apt,161.0,223,2,Multi-listing Host
West End,Entire home/apt,345.0,61,1,Single-listing Host
Milan,Entire home/apt,135.0,7,1,Single-listing Host
St. Roch,Entire home/apt,,0,2,Multi-listing Host
Mid-City,Entire home/apt,96.0,52,44,Multi-listing Host
Treme - Lafitte,Entire home/apt,139.0,133,2,Multi-listing Host
Lower Garden District,Entire home/apt,510.0,151,15,Multi-listing Host
Marigny,Private room,462.0,12,5,Multi-listing Host
Marigny,Private room,186.0,2,5,Multi-listing Host
Mid-City,Entire home/apt,60.0,251,1,Single-listing Host
Bywater,Entire home/apt,59.0,4,3,Multi-listing Host
West Riverside,Entire home/apt,102.0,32,3,Multi-listing Host
Marlyville - Fontainbleau,Entire home/apt,,0,1,Single-listing Host
Lower Garden District,Entire home/apt,166.0,70,10,Multi-listing Host
Lower Garden District,Entire home/apt,159.0,108,10,Multi-listing Host
Fairgrounds,Entire home/apt,,6,5,Multi-listing Host
St. Bernard Area,Entire home/apt,216.0,0,21,Multi-listing Host
Irish Channel,Entire home/apt,137.0,85,1,Single-listing Host
Lower Garden District,Entire home/apt,115.0,69,1,Single-listing Host
Central Business District,Entire home/apt,131.0,206,30,Multi-listing Host
Central Business District,Entire home/apt,120.0,478,30,Multi-listing Host
Central Business District,Entire home/apt,533.0,291,30,Multi-listing Host
Bayou St. John,Entire home/apt,111.0,109,1,Single-listing Host
Central City,Entire home/apt,,88,43,Multi-listing Host
Central City,Entire home/apt,810.0,25,43,Multi-listing Host
West Riverside,Entire home/apt,262.0,127,23,Multi-listing Host
Gert Town,Entire home/apt,95.0,211,8,Multi-listing Host
Fairgrounds,Entire home/apt,148.0,74,1,Single-listing Host
Seventh Ward,Entire home/apt,185.0,36,1,Single-listing Host
Gert Town,Entire home/apt,163.0,88,1,Single-listing Host
Uptown,Entire home/apt,78.0,210,2,Multi-listing Host
St. Claude,Entire home/apt,166.0,126,78,Multi-listing Host
Central City,Entire home/apt,141.0,100,5,Multi-listing Host
Central City,Entire home/apt,141.0,83,5,Multi-listing Host
Lower Garden District,Entire home/apt,185.0,139,5,Multi-listing Host
Lower Garden District,Entire home/apt,145.0,138,5,Multi-listing Host
Fairgrounds,Entire home/apt,83.0,318,1,Single-listing Host
Treme - Lafitte,Entire home/apt,86.0,194,4,Multi-listing Host
Marigny,Entire home/apt,104.0,60,1,Single-listing Host
Mid-City,Entire home/apt,66.0,232,85,Multi-listing Host
Central Business District,Entire home/apt,214.0,75,19,Multi-listing Host
Lower Garden District,Entire home/apt,166.0,58,19,Multi-listing Host
Central Business District,Entire home/apt,133.0,83,19,Multi-listing Host
Lower Garden District,Entire home/apt,234.0,148,19,Multi-listing Host
Central Business District,Entire home/apt,243.0,68,19,Multi-listing Host
Central Business District,Entire home/apt,221.0,78,19,Multi-listing Host
Lower Garden District,Entire home/apt,255.0,115,19,Multi-listing Host
City Park,Entire home/apt,99.0,90,3,Multi-listing Host
Central Business District,Entire home/apt,116.0,115,19,Multi-listing Host
Lower Garden District,Entire home/apt,129.0,22,19,Multi-listing Host
Tulane - Gravier,Entire home/apt,146.0,45,1,Single-listing Host
Gert Town,Entire home/apt,71.0,160,8,Multi-listing Host
Gentilly Terrace,Entire home/apt,,0,1,Single-listing Host
Lower Garden District,Entire home/apt,214.0,64,19,Multi-listing Host
Lower Garden District,Entire home/apt,138.0,41,19,Multi-listing Host
Lower Garden District,Entire home/apt,197.0,93,19,Multi-listing Host
Marigny,Entire home/apt,81.0,62,78,Multi-listing Host
Mid-City,Entire home/apt,194.0,22,32,Multi-listing Host
Algiers Point,Entire home/apt,260.0,88,1,Single-listing Host
Mid-City,Entire home/apt,119.0,238,85,Multi-listing Host
Fairgrounds,Entire home/apt,,5,5,Multi-listing Host
Fairgrounds,Entire home/apt,,2,5,Multi-listing Host
Fairgrounds,Entire home/apt,,0,5,Multi-listing Host
Fairgrounds,Entire home/apt,,0,5,Multi-listing Host
Marigny,Entire home/apt,120.0,12,1,Single-listing Host
Marigny,Entire home/apt,,1,1,Single-listing Host
Lower Garden District,Entire home/apt,150.0,30,9,Multi-listing Host
Seventh Ward,Entire home/apt,90.0,55,1,Single-listing Host
Mid-City,Entire home/apt,105.0,268,85,Multi-listing Host
French Quarter,Entire home/apt,147.0,148,8,Multi-listing Host
Treme - Lafitte,Entire home/apt,349.0,81,2,Multi-listing Host
Central Business District,Entire home/apt,120.0,59,1,Single-listing Host
Marigny,Private room,296.0,72,9,Multi-listing Host
Marigny,Private room,289.0,99,9,Multi-listing Host
Central Business District,Entire home/apt,140.0,126,8,Multi-listing Host
Central Business District,Entire home/apt,145.0,127,8,Multi-listing Host
Central Business District,Entire home/apt,1009.0,3,3,Multi-listing Host
Central Business District,Entire home/apt,1141.0,3,3,Multi-listing Host
Marigny,Entire home/apt,96.0,204,11,Multi-listing Host
Mid-City,Entire home/apt,326.0,175,15,Multi-listing Host
Central Business District,Entire home/apt,116.0,158,8,Multi-listing Host
Seventh Ward,Entire home/apt,55.0,15,25,Multi-listing Host
Marlyville - Fontainbleau,Entire home/apt,,4,1,Single-listing Host
French Quarter,Entire home/apt,,2,24,Multi-listing Host
Navarre,Entire home/apt,129.0,72,1,Single-listing Host
Central City,Entire home/apt,,57,1,Single-listing Host
Central Business District,Entire home/apt,383.0,79,30,Multi-listing Host
Central Business District,Entire home/apt,121.0,159,26,Multi-listing Host
Lower Garden District,Entire home/apt,,9,44,Multi-listing Host
Marigny,Entire home/apt,221.0,118,1,Single-listing Host
Central City,Entire home/apt,227.0,149,23,Multi-listing Host
Whitney,Entire home/apt,89.0,0,3,Multi-listing Host
Central City,Entire home/apt,66.0,22,1,Single-listing Host
Hollygrove,Entire home/apt,89.0,40,1,Single-listing Host
Lower Garden District,Entire home/apt,128.0,119,10,Multi-listing Host
Uptown,Entire home/apt,799.0,0,6,Multi-listing Host
Uptown,Entire home/apt,197.0,188,6,Multi-listing Host
Mid-City,Entire home/apt,120.0,18,3,Multi-listing Host
Marigny,Entire home/apt,133.0,75,2,Multi-listing Host
Central City,Entire home/apt,178.0,112,2,Multi-listing Host
French Quarter,Private room,450.0,23,9,Multi-listing Host
French Quarter,Private room,936.0,10,9,Multi-listing Host
Marigny,Private room,371.0,118,9,Multi-listing Host
Algiers Point,Entire home/apt,350.0,89,1,Single-listing Host
Marigny,Private room,1450.0,12,9,Multi-listing Host
Lower Garden District,Entire home/apt,120.0,77,78,Multi-listing Host
Mcdonogh,Entire home/apt,90.0,192,1,Single-listing Host
Central Business District,Entire home/apt,215.0,110,1,Single-listing Host
Milan,Entire home/apt,98.0,90,26,Multi-listing Host
Irish Channel,Entire home/apt,,115,2,Multi-listing Host
Central Business District,Entire home/apt,974.0,27,3,Multi-listing Host
Central Business District,Entire home/apt,113.0,244,33,Multi-listing Host
Central Business District,Entire home/apt,113.0,256,33,Multi-listing Host
Central Business District,Entire home/apt,90.0,260,33,Multi-listing Host
Mid-City,Entire home/apt,58.0,281,33,Multi-listing Host
Mid-City,Entire home/apt,66.0,260,33,Multi-listing Host
Mid-City,Entire home/apt,105.0,223,33,Multi-listing Host
Mid-City,Entire home/apt,82.0,207,33,Multi-listing Host
St. Claude,Entire home/apt,65.0,240,5,Multi-listing Host
Tulane - Gravier,Entire home/apt,424.0,91,10,Multi-listing Host
Bayou St. John,Entire home/apt,,0,1,Single-listing Host
Marlyville - Fontainbleau,Entire home/apt,110.0,86,1,Single-listing Host
Central City,Entire home/apt,376.0,124,1,Single-listing Host
Gert Town,Entire home/apt,49.0,146,85,Multi-listing Host
St. Claude,Entire home/apt,180.0,122,2,Multi-listing Host
Lower Garden District,Entire home/apt,350.0,117,1,Single-listing Host
Bayou St. John,Entire home/apt,,44,1,Single-listing Host
Central Business District,Entire home/apt,512.0,85,30,Multi-listing Host
Central Business District,Private room,205.0,79,4,Multi-listing Host
Lakeshore - Lake Vista,Private room,42.0,6,3,Multi-listing Host
St. Claude,Entire home/apt,,67,8,Multi-listing Host
St. Roch,Entire home/apt,232.0,246,8,Multi-listing Host
French Quarter,Private room,190.0,507,4,Multi-listing Host
Central City,Entire home/apt,312.0,133,23,Multi-listing Host
Mid-City,Entire home/apt,144.0,111,1,Single-listing Host
Marigny,Entire home/apt,498.0,173,2,Multi-listing Host
St. Claude,Entire home/apt,90.0,211,8,Multi-listing Host
Central City,Entire home/apt,,114,1,Single-listing Host
Treme - Lafitte,Entire home/apt,335.0,82,12,Multi-listing Host
Central Business District,Entire home/apt,,163,1,Single-listing Host
Marigny,Private room,750.0,31,7,Multi-listing Host
French Quarter,Entire home/apt,136.0,133,1,Single-listing Host
Treme - Lafitte,Private room,92.0,153,9,Multi-listing Host
Treme - Lafitte,Private room,90.0,179,9,Multi-listing Host
Treme - Lafitte,Private room,92.0,236,9,Multi-listing Host
Irish Channel,Entire home/apt,85.0,11,1,Single-listing Host
Treme - Lafitte,Private room,90.0,131,9,Multi-listing Host
Treme - Lafitte,Entire home/apt,103.0,165,9,Multi-listing Host
Treme - Lafitte,Private room,100.0,97,9,Multi-listing Host
Central City,Entire home/apt,57.0,191,2,Multi-listing Host
Marigny,Private room,314.0,4,9,Multi-listing Host
Fairgrounds,Entire home/apt,,5,3,Multi-listing Host
Mid-City,Entire home/apt,120.0,47,1,Single-listing Host
Lower Garden District,Entire home/apt,101.0,186,2,Multi-listing Host
Central Business District,Entire home/apt,186.0,24,41,Multi-listing Host
Mid-City,Entire home/apt,72.0,237,3,Multi-listing Host
Lower Garden District,Entire home/apt,94.0,51,44,Multi-listing Host
Audubon,Entire home/apt,150.0,133,1,Single-listing Host
Bywater,Entire home/apt,137.0,133,1,Single-listing Host
Milneburg,Entire home/apt,170.0,79,1,Single-listing Host
Bywater,Entire home/apt,85.0,16,11,Multi-listing Host
Freret,Entire home/apt,102.0,58,18,Multi-listing Host
Lake Catherine,Entire home/apt,267.0,23,2,Multi-listing Host
Central Business District,Entire home/apt,146.0,152,3,Multi-listing Host
Central City,Entire home/apt,142.0,118,15,Multi-listing Host
Audubon,Entire home/apt,250.0,0,3,Multi-listing Host
Central Business District,Entire home/apt,88.0,291,33,Multi-listing Host
Mid-City,Entire home/apt,207.0,108,1,Single-listing Host
Treme - Lafitte,Entire home/apt,87.0,157,4,Multi-listing Host
City Park,Entire home/apt,135.0,22,1,Single-listing Host
Central City,Entire home/apt,,5,1,Single-listing Host
Central City,Entire home/apt,249.0,131,15,Multi-listing Host
Milan,Entire home/apt,730.0,21,4,Multi-listing Host
Lakeshore - Lake Vista,Private room,37.0,8,3,Multi-listing Host
Seventh Ward,Entire home/apt,99.0,41,1,Single-listing Host
Audubon,Entire home/apt,200.0,2,1,Single-listing Host
Milan,Entire home/apt,,25,4,Multi-listing Host
Marigny,Private room,88.0,70,78,Multi-listing Host
French Quarter,Private room,88.0,38,78,Multi-listing Host
Treme - Lafitte,Entire home/apt,,51,2,Multi-listing Host
Holy Cross,Entire home/apt,95.0,89,3,Multi-listing Host
Mid-City,Entire home/apt,107.0,26,1,Single-listing Host
Central City,Entire home/apt,392.0,111,1,Single-listing Host
Marigny,Private room,88.0,47,78,Multi-listing Host
Seventh Ward,Entire home/apt,375.0,38,1,Single-listing Host
Marigny,Entire home/apt,1699.0,38,11,Multi-listing Host
Marigny,Entire home/apt,93.0,15,78,Multi-listing Host
Treme - Lafitte,Entire home/apt,364.0,99,25,Multi-listing Host
Treme - Lafitte,Entire home/apt,323.0,101,25,Multi-listing Host
Treme - Lafitte,Entire home/apt,119.0,80,25,Multi-listing Host
Treme - Lafitte,Entire home/apt,125.0,64,25,Multi-listing Host
Seventh Ward,Entire home/apt,218.0,64,2,Multi-listing Host
Plum Orchard,Entire home/apt,66.0,7,3,Multi-listing Host
St. Claude,Entire home/apt,158.0,92,2,Multi-listing Host
Dillard,Entire home/apt,,43,1,Single-listing Host
Treme - Lafitte,Entire home/apt,150.0,14,1,Single-listing Host
St. Claude,Entire home/apt,,36,1,Single-listing Host
Tulane - Gravier,Entire home/apt,265.0,69,2,Multi-listing Host
Central Business District,Entire home/apt,603.0,17,41,Multi-listing Host
Central Business District,Entire home/apt,644.0,4,41,Multi-listing Host
Central Business District,Entire home/apt,856.0,10,41,Multi-listing Host
Tulane - Gravier,Entire home/apt,833.0,96,1,Single-listing Host
Central Business District,Entire home/apt,109.0,32,26,Multi-listing Host
Milan,Entire home/apt,119.0,24,2,Multi-listing Host
Irish Channel,Entire home/apt,257.0,77,2,Multi-listing Host
Marigny,Entire home/apt,45.0,12,5,Multi-listing Host
Bywater,Entire home/apt,415.0,159,2,Multi-listing Host
Central Business District,Entire home/apt,644.0,2,41,Multi-listing Host
Bayou St. John,Entire home/apt,120.0,128,2,Multi-listing Host
French Quarter,Entire home/apt,856.0,67,8,Multi-listing Host
Treme - Lafitte,Entire home/apt,164.0,81,1,Single-listing Host
Milan,Entire home/apt,388.0,8,4,Multi-listing Host
Irish Channel,Entire home/apt,189.0,200,1,Single-listing Host
Leonidas,Shared room,35.0,0,22,Multi-listing Host
East Riverside,Entire home/apt,279.0,128,1,Single-listing Host
French Quarter,Entire home/apt,302.0,68,2,Multi-listing Host
French Quarter,Entire home/apt,265.0,74,2,Multi-listing Host
Seventh Ward,Entire home/apt,79.0,62,26,Multi-listing Host
Uptown,Entire home/apt,75.0,170,4,Multi-listing Host
Central Business District,Private room,235.0,17,4,Multi-listing Host
Milan,Entire home/apt,263.0,87,1,Single-listing Host
Whitney,Entire home/apt,200.0,62,2,Multi-listing Host
Mid-City,Entire home/apt,,0,1,Single-listing Host
St. Roch,Entire home/apt,148.0,116,1,Single-listing Host
Leonidas,Entire home/apt,55.0,155,2,Multi-listing Host
Irish Channel,Entire home/apt,556.0,32,7,Multi-listing Host
Central Business District,Entire home/apt,146.0,117,3,Multi-listing Host
Marigny,Entire home/apt,194.0,120,78,Multi-listing Host
Central City,Entire home/apt,642.0,70,2,Multi-listing Host
St. Roch,Entire home/apt,140.0,72,1,Single-listing Host
Marigny,Entire home/apt,221.0,207,2,Multi-listing Host
Tulane - Gravier,Entire home/apt,150.0,277,2,Multi-listing Host
Mid-City,Entire home/apt,157.0,91,32,Multi-listing Host
Leonidas,Shared room,,0,22,Multi-listing Host
Mid-City,Entire home/apt,157.0,71,32,Multi-listing Host
West End,Entire home/apt,80.0,0,1,Single-listing Host
Mid-City,Entire home/apt,157.0,84,32,Multi-listing Host
